OSM_ID,AGS_5
667985903,3159
667985902,3159
667985901,3159
667985900,3159
281285200,8117
281285100,8116
281285000,8135
280877400,8436
280662300,8435
280639000,8437
280415600,8426
280407800,8425
279757300,8417
279703600,8416
279698000,8415
279310403,8111
279310402,8111
279310401,8111
279310400,8111
216823300,9163
216823200,9183
216823100,9182
216823000,9175
215636300,9189
215636200,9187
214517900,9475
214517800,9477
208474600,3355
208353500,3352
208349700,3353
208346600,9272
194636700,8315
194611700,8316
189150600,5966
183101500,5962
182906600,5954
182906500,5913
180029701,5914
180029700,5914
173938100,13076
173938000,13074
173937900,13073
173937700,13072
173937600,13071
143151700,13075
97533900,9374
31824800,12064
28586402,8221
28586401,8221
28586400,8221
19164503,14612
19164502,14612
19164501,14612
19164500,14612
17267901,7211
17267900,7211
6294300,14523
6278500,14524
6278202,2000
6278201,2000
6278200,2000
6278000,9564
6277900,5558
6277800,9573
6277300,3455
6277200,9361
6277002,5562
6277001,5562
6277000,5562
6276800,8311
6276700,5370
6276600,3252
6276500,9371
6276404,3241
6276403,3241
6276402,3241
6276401,3241
6276400,3241
6276200,3257
6275100,8121
6275000,8125
6274800,5114
6274700,15082
6274600,6439
6274500,16051
6274400,9574
6274300,3360
6274204,3254
6274203,3254
6274202,3254
6274201,3254
6274200,3254
6274100,7133
6274000,3361
6273900,9673
6273800,12070
6273700,7333
6273600,6634
6273400,5119
6273300,1060
6273100,3461
6273000,6431
6272800,3256
6272700,9278
6272600,9180
6272500,15090
6272401,7316
6272400,7316
6272300,8236
6272100,8115
6272000,9565
6271901,7320
6271900,7320
6271700,9463
6271600,8337
6271500,6438
6271302,5113
6271301,5113
6271300,5113
6271200,9172
6271100,9271
6270900,9276
6270800,8136
6270700,9279
6270600,5570
6270400,6432
6270300,1053
6270100,9763
6270000,6631
6269900,5122
6269800,7334
6269500,6413
6269400,6435
6269303,16053
6269302,16053
6269301,16053
6269300,16053
6269200,6531
6269101,8222
6269100,8222
6269000,8326
6268900,3451
6268700,9474
6268600,9376
6268500,13004
6268400,9176
6268300,12071
6268200,8327
6268100,15087
6268000,7331
6267900,7134
6267400,3358
6267300,3459
6267200,9776
6267100,16052
6266900,3153
6266800,7231
6266600,3460
6266500,5334
6266400,9774
6266300,9171
6266200,3354
6266100,5362
6265901,3102
6265900,3102
6265801,4012
6265800,4012
6265700,9274
6265600,6433
6265500,9185
6265400,9561
6265300,7337
6265200,7312
6265102,10041
6265101,10041
6265100,10041
6264902,14713
6264901,14713
6264900,14713
6264800,3458
6264700,3151
6264604,5711
6264603,5711
6264602,5711
6264601,5711
6264600,5711
6264401,5911
6264400,5911
6264300,6534
6264200,7317
6264100,9677
6264003,9462
6264002,9462
6264001,9462
6264000,9462
6263900,15084
6263800,15002
6263700,6632
6263600,9263
6263400,5512
6263300,9178
6263200,7339
6263100,3404
6263002,7315
6263001,7315
6263000,7315
6262900,9262
6262800,12067
6262700,9471
6262600,8225
6262400,8317
6262300,7131
6262200,9772
6262100,16062
6262000,9373
6261800,16066
6261700,3357
6261600,16063
6261500,7233
6261400,9273
6261300,3155
6261000,7338
6260900,9571
6260800,3351
6260600,5554
6260400,16065
6260300,8335
6260200,15081
6260100,8235
6260000,9190
6259802,6611
6259801,6611
6259800,6611
6259700,3453
6259600,6437
6259500,9179
6259400,14511
6259200,9277
6259103,5515
6259102,5515
6259101,5515
6259100,5515
6259000,9764
6258900,9464
6258800,16068
6258700,8336
6258600,6636
6258500,6533
6258400,7232
6258200,8127
6258101,6411
6258100,6411
6258000,9184
6257900,10045
6257804,5315
6257803,5315
6257802,5315
6257801,5315
6257800,5315
6257700,8226
6257500,9377
6257400,12068
6257300,7311
6257204,7111
6257203,7137
6257202,7137
6257201,7137
6257200,7137
6257100,12066
6256900,7135
6256700,3457
6256600,6434
6256500,9375
6256300,6635
6256200,3402
6256100,9473
6255903,4011
6255902,4011
6255901,4011
6255900,4011
6255800,3158
6255600,9174
6255500,5366
6255400,9363
6255300,12060
6255200,16072
6255000,3456
6254800,9372
6254700,14730
6254600,1062
6254400,5382
6254300,6535
6254200,8128
6254100,9275
6254000,3454
6253904,5111
6253903,5111
6253902,5111
6253901,5111
6253900,5111
6253700,12073
6253600,8118
6253500,5162
6253400,9662
6253300,9777
6253200,9661
6253104,3101
6253103,3101
6253102,3101
6253101,3101
6253100,3101
6253000,9678
6252800,1004
6252700,7140
6252602,15001
6252601,15001
6252600,15001
6252500,9461
6252400,5762
6252300,12053
6252201,5513
6252200,5513
6252100,9773
6252000,9674
6251900,6440
6251800,8212
6251500,9478
6251400,9575
6251200,7111
6251100,14627
6251000,3255
6250801,5314
6250800,5314
6250500,12062
6250200,15089
6250000,16061
6249900,5915
6249800,9181
6249700,9671
6249603,6414
6249602,6414
6249601,6414
6249600,6414
6249500,8421
6249400,3157
6249300,16055
6249200,16077
6249100,9479
6248900,5166
6248800,12065
6248500,14628
6248400,9261
6248300,5766
6248200,3359
6248100,15003
6248000,5758
6247800,5124
6247700,15086
6247600,5154
6247400,10043
6247300,15088
6247200,9173
6247100,8231
6247000,12051
6246900,9775
6246800,16067
6246600,10044
6246500,9679
6246400,9663
6246200,16071
6245800,9188
6245700,9675
6245601,5112
